Needham, Debra H., and David A. Kring. "Lunar volcanism produced a transient atmosphere around the ancient Moon." Earth and Planetary Science Letters 478 (2017): 175-178. https://doi.org/10.1016/j.epsl.2017.09.002
Table S3: Mass and surface pressure of volatiles degassed by lunar mare basalt as a function of time,,,,,,,,,,,,,,,,
Age Bins,Total Volume,Mass of spherules,CO,,H2O,,H,,S,,SUM,,Psurf=mg/A,,Time til Atm Lost,
Ga,km3,g,min (g),max (g),min (g),max (g),min (g),max (g),min (g),max (g),min (g),max (g),min (Pa),max (Pa),min (yr),max (yr)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,"16,218",4.87E+19,3.89E+15,3.65E+16,8.76E+13,4.38E+14,3.41E+11,2.19E+15,8.76E+15,2.63E+16,1.27E+16,6.54E+16,0.54,2.76,"40,392","207,354"
1.2,415,1.24E+18,9.96E+13,9.33E+14,2.24E+12,1.12E+13,8.71E+09,5.60E+13,2.24E+14,6.72E+14,3.26E+14,1.67E+15,0.01,0.07,"1,033","5,304"
1.3,"15,192",4.56E+19,3.65E+15,3.42E+16,8.20E+13,4.10E+14,3.19E+11,2.05E+15,8.20E+15,2.46E+16,1.19E+16,6.13E+16,0.50,2.58,"37,837","194,236"
1.4,"2,036",6.11E+18,4.89E+14,4.58E+15,1.10E+13,5.50E+13,4.28E+10,2.75E+14,1.10E+15,3.30E+15,1.60E+15,8.21E+15,0.07,0.35,"5,071","26,031"
1.5,"17,079",5.12E+19,4.10E+15,3.84E+16,9.22E+13,4.61E+14,3.59E+11,2.31E+15,9.22E+15,2.77E+16,1.34E+16,6.89E+16,0.57,2.90,"42,536","218,360"
1.6,"11,513",3.45E+19,2.76E+15,2.59E+16,6.22E+13,3.11E+14,2.42E+11,1.55E+15,6.22E+15,1.87E+16,9.04E+15,4.64E+16,0.38,1.96,"28,674","147,201"
1.7,"25,349",7.60E+19,6.08E+15,5.70E+16,1.37E+14,6.84E+14,5.32E+11,3.42E+15,1.37E+16,4.11E+16,1.99E+16,1.02E+17,0.84,4.31,"63,133","324,097"
1.8,"3,169",9.51E+18,7.61E+14,7.13E+15,1.71E+13,8.56E+13,6.65E+10,4.28E+14,1.71E+15,5.13E+15,2.49E+15,1.28E+16,0.10,0.54,"7,892","40,515"
1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"18,730",5.62E+19,4.50E+15,4.21E+16,1.01E+14,5.06E+14,3.93E+11,2.53E+15,1.01E+16,3.03E+16,1.47E+16,7.55E+16,0.62,3.19,"46,647","239,466"
2.1,"31,704",9.51E+19,7.61E+15,7.13E+16,1.71E+14,8.56E+14,6.66E+11,4.28E+15,1.71E+16,5.14E+16,2.49E+16,1.28E+17,1.05,5.39,"78,961","405,353"
2.2,"8,015",2.40E+19,1.92E+15,1.80E+16,4.33E+13,2.16E+14,1.68E+11,1.08E+15,4.33E+15,1.30E+16,6.30E+15,3.23E+16,0.27,1.36,"19,962","102,477"
2.3,"1,055",3.16E+18,2.53E+14,2.37E+15,5.69E+12,2.85E+13,2.21E+10,1.42E+14,5.69E+14,1.71E+15,8.28E+14,4.25E+15,0.03,0.18,"2,627","13,484"
2.4,"10,883",3.26E+19,2.61E+15,2.45E+16,5.88E+13,2.94E+14,2.29E+11,1.47E+15,5.88E+15,1.76E+16,8.55E+15,4.39E+16,0.36,1.85,"27,104","139,141"
2.5,"4,254",1.28E+19,1.02E+15,9.57E+15,2.30E+13,1.15E+14,8.93E+10,5.74E+14,2.30E+15,6.89E+15,3.34E+15,1.72E+16,0.14,0.72,"10,594","54,383"
2.6,"2,403",7.21E+18,5.77E+14,5.41E+15,1.30E+13,6.49E+13,5.05E+10,3.24E+14,1.30E+15,3.89E+15,1.89E+15,9.69E+15,0.08,0.41,"5,986","30,727"
2.7,"28,467",8.54E+19,6.83E+15,6.41E+16,1.54E+14,7.69E+14,5.98E+11,3.84E+15,1.54E+16,4.61E+16,2.24E+16,1.15E+17,0.94,4.84,"70,900","363,968"
2.8,"16,143",4.84E+19,3.87E+15,3.63E+16,8.72E+13,4.36E+14,3.39E+11,2.18E+15,8.72E+15,2.62E+16,1.27E+16,6.51E+16,0.53,2.75,"40,204","206,392"
2.9,"84,991",2.55E+20,2.04E+16,1.91E+17,4.59E+14,2.29E+15,1.78E+12,1.15E+16,4.59E+16,1.38E+17,6.68E+16,3.43E+17,2.82,14.45,"211,675",1.09E+06
3,"44,670",1.34E+20,1.07E+16,1.01E+17,2.41E+14,1.21E+15,9.38E+11,6.03E+15,2.41E+16,7.24E+16,3.51E+16,1.80E+17,1.48,7.60,"111,252","571,120"
3.1,"132,150",3.96E+20,3.17E+16,2.97E+17,7.14E+14,3.57E+15,2.78E+12,1.78E+16,7.14E+16,2.14E+17,1.04E+17,5.33E+17,4.38,22.47,"329,127",1.69E+06
3.2,"58,568",1.76E+20,1.41E+16,1.32E+17,3.16E+14,1.58E+15,1.23E+12,7.91E+15,3.16E+16,9.49E+16,4.60E+16,2.36E+17,1.94,9.96,"145,868","748,821"
3.3,"89,848",2.70E+20,2.16E+16,2.02E+17,4.85E+14,2.43E+15,1.89E+12,1.21E+16,4.85E+16,1.46E+17,7.06E+16,3.62E+17,2.98,15.28,"223,770",1.15E+06
3.4,"774,781",2.32E+21,1.86E+17,1.74E+18,4.18E+15,2.09E+16,1.63E+13,1.05E+17,4.18E+17,1.26E+18,6.09E+17,3.12E+18,25.67,131.77,1.93E+06,9.91E+06
3.5,"5,446,355",1.63E+22,1.31E+18,1.23E+19,2.94E+16,1.47E+17,1.14E+14,7.35E+17,2.94E+18,8.82E+18,4.28E+18,2.20E+19,180.43,926.27,1.36E+07,6.96E+07
3.6,"126,027",3.78E+20,3.02E+16,2.84E+17,6.81E+14,3.40E+15,2.65E+12,1.70E+16,6.81E+16,2.04E+17,9.90E+16,5.08E+17,4.18,21.43,"313,877",1.61E+06
3.7,"406,515",1.22E+21,9.76E+16,9.15E+17,2.20E+15,1.10E+16,8.54E+12,5.49E+16,2.20E+17,6.59E+17,3.19E+17,1.64E+18,13.47,69.14,1.01E+06,5.20E+06
3.8,"1,525,044",4.58E+21,3.66E+17,3.43E+18,8.24E+15,4.12E+16,3.20E+13,2.06E+17,8.24E+17,2.47E+18,1.20E+18,6.15E+18,50.52,259.37,3.80E+06,1.95E+07
3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
