Bahcall, John N., M. H. Pinsonneault, and Sarbani Basu. "Solar models: Current epoch and time dependences, neutrinos, and helioseismological properties." The Astrophysical Journal 555.2 (2001): 990. https://doi.org/10.1086/321493
Age,Luminosity
0,0.677
0.2,0.721
0.4,0.733
0.6,0.744
0.8,0.754
1,0.764
1.2,0.775
1.4,0.786
1.6,0.797
1.8,0.808
2,0.82
2.2,0.831
2.4,0.844
2.6,0.856
2.8,0.869
3,0.882
3.2,0.896
3.4,0.91
3.6,0.924
3.8,0.939
4,0.954
4.2,0.97
4.4,0.986
4.6,1.003
4.8,1.02
5,1.037
5.2,1.055
5.4,1.073
5.6,1.092
5.8,1.112
6,1.132
6.2,1.152
6.4,1.172
6.6,1.193
6.8,1.214
7,1.235
7.2,1.256
7.4,1.278
7.6,1.304
7.8,1.332
8,1.363